ID,latitude,longitude,district,address_offers,agent_offers,subway_offers,closest_subway,dist_to_subway,subway_grade,subway_dist_to_center,rooms,floor,max_floor,footage,material,repair,price,category_age
MAL5591,55.6515885,37.6974641,UVAO,1.0,1.0,8.0,Otradnoye,,Suburban rail,13264.0,Two Room,1.0,3.0,40.8,brick,Enough,6500000.0,Old buildings
MAL5071,55.8546528,37.4717159,SAO,1.0,1.0,14.0,Universitet,,Underground,14800.0,Two Room,3.0,9.0,41.6,brick,Enough,9200000.0,Old buildings
MAL4692,55.76696310000001,37.5642123,CAO,1.0,11.0,,Bulvar Rokossovskogo,,,3581.0,Two Room,2.0,8.0,58.0,brick,Enough,14999000.0,Old buildings
MAL1884,55.7923138,37.79766420000001,VAO,1.0,1.0,14.0,Verkhniye Likhobory,252.0,Underground,12418.0,One Room,1.0,5.0,,panel,Enough,7300000.0,Old buildings
MAL3206,55.863212,37.534739,SAO,,3.0,20.0,Mnyovniki,857.0,Underground,13417.0,Two Room,,22.0,66.7,monolith,Good,16800000.0,Young buildings
MAL1622,55.681081000000006,37.694689200000006,UAO,1.0,146.0,9.0,Izmaylovskaya,1984.0,Underground,8849.0,Two Room,18.0,19.0,55.9,panel,,16800000.0,Young buildings
MAL1724,55.670033,37.649742,UAO,1.0,1.0,17.0,Izmaylovskaya,1201.0,Underground,8849.0,Two Room,6.0,,47.0,panel,Enough,8850000.0,Old buildings
MAL63,55.620487,37.747135,UAO,1.0,1.0,13.0,Park Pobedy,,,17166.0,,5.0,9.0,33.0,panel,Enough,7300000.0,Old buildings
MAL6292,55.538794,37.511436,,,1.0,4.0,Voykovskaya,295.0,Underground,24636.0,Two Room,2.0,17.0,,panel,Poor,10800000.0,Middle-aged buildings
MAL11220,55.816525,37.651044,SVAO,1.0,1.0,7.0,Dinamo,,Underground,8183.0,One Room,,5.0,30.7,brick,Poor,7800000.0,Old buildings
MAL10936,55.782896,37.665974,CAO,1.0,1.0,4.0,Filyovsky Park,,Underground,4422.0,Two Room,5.0,14.0,50.0,brick,Excellent,15800000.0,Middle-aged buildings
MAL11977,55.83494200000001,37.52671220000001,SAO,1.0,,,Kuntsevskaya,668.0,Urban rail,11410.0,One Room,,14.0,,panel,Good,9650000.0,Middle-aged buildings
MAL4070,55.663597,37.488773,ZAO,2.0,1.0,6.0,,374.0,Underground,12935.0,One Room,2.0,17.0,,panel,Enough,10400000.0,Middle-aged buildings
MAL4207,55.799305,37.620923,,2.0,2.0,7.0,Botanichesky Sad,688.0,,,One Room,1.0,16.0,35.0,block,Enough,8400000.0,Old buildings
MAL12080,55.843680000000006,37.547306,SAO,1.0,1.0,4.0,Taganskaya,469.0,Urban rail,11302.0,Two Room,,18.0,55.0,panel,Enough,11950000.0,Young buildings
MAL10086,55.86751999999999,37.633034,SVAO,2.0,1.0,16.0,Prazhskaya,1782.0,Underground,12480.0,Two Room,12.0,12.0,53.0,panel,Enough,12000000.0,Middle-aged buildings
MAL2923,55.721807,37.51361,ZAO,2.0,2.0,,Perovo,1014.0,,8012.0,Two Room,4.0,12.0,57.0,panel,Good,14850000.0,Old buildings
MAL11546,55.8183235,37.7004552,,,25.0,,Vorobyovy Gory,1298.0,Urban rail,10153.0,Two Room,6.0,,,brick,Good,10000000.0,Old buildings
MAL199,55.707644,37.755239,UVAO,1.0,1.0,28.0,Kiyevskaya,558.0,Underground,10612.0,Two Room,5.0,5.0,,panel,,9000000.0,Old buildings
MAL11347,55.703266000000006,37.687605,UVAO,1.0,19.0,6.0,Partizanskaya,348.0,Underground,6738.0,Two Room,1.0,17.0,56.0,panel,Enough,10190000.0,Middle-aged buildings
MAL4030,55.6601738,37.4913242,ZAO,1.0,1.0,9.0,Serpukhovskaya,625.0,Underground,12935.0,One Room,,9.0,,panel,Enough,8500000.0,Old buildings
MAL10873,,37.499138,ZAO,1.0,1.0,5.0,Biblioteka Imeni Lenina,415.0,Underground,7481.0,Two Room,3.0,8.0,54.0,brick,,14500000.0,Old buildings
MAL8572,55.833587,37.571686,SAO,1.0,1.0,,,890.0,Underground,10236.0,One Room,6.0,9.0,32.3,panel,Good,8390000.0,Old buildings
MAL549,55.67457,37.548355,,1.0,13.0,,Tulskaya,630.0,Underground,9905.0,Two Room,2.0,5.0,41.0,brick,Enough,11100000.0,Old buildings
MAL7774,55.722183,37.422692,ZAO,1.0,10.0,11.0,Zyuzino,,Suburban rail,12693.0,Two Room,3.0,9.0,38.0,brick,Good,9400000.0,Old buildings
MAL1132,55.6471,37.40497,ZAO,1.0,1.0,17.0,Savyolovskaya,895.0,Underground,18158.0,Two Room,,17.0,52.0,panel,Enough,9700000.0,Middle-aged buildings
MAL5743,55.7396018,37.4766088,,1.0,10.0,6.0,Nizhegorodskaya,456.0,Underground,8359.0,Two Room,5.0,,43.0,brick,Enough,9690000.0,Old buildings
MAL11272,55.7096556,37.6023738,UAO,2.0,1.0,3.0,,1077.0,,3744.0,,2.0,5.0,42.6,monolith,Good,11800000.0,Old buildings
MAL9099,55.614948,37.703847,UAO,1.0,1.0,10.0,Yuzhnaya,,Underground,16303.0,,,12.0,53.0,panel,Enough,9500000.0,Old buildings
MAL4508,55.730125,37.751217,UVAO,1.0,,12.0,Ulitsa Starokachalovskaya,331.0,,9000.0,Two Room,1.0,6.0,,brick,Poor,10000000.0,Old buildings
MAL6429,,37.4600558,SZAO,,1.0,8.0,Chertanovskaya,2477.0,Underground,8949.0,Two Room,9.0,9.0,,brick,Enough,10000000.0,Old buildings
MAL10394,55.66255129999999,37.6087898,UZAO,1.0,5.0,4.0,Timiryazevskaya,221.0,Underground,10013.0,Two Room,2.0,14.0,50.8,brick,Enough,12500000.0,Old buildings
MAL300,55.7056993,37.752974,UVAO,1.0,2.0,18.0,Kiyevskaya,,Underground,10612.0,Two Room,5.0,5.0,45.6,panel,Enough,8750000.0,Old buildings
MAL4457,,37.767483,UVAO,2.0,,5.0,Ulitsa Starokachalovskaya,1001.0,Underground,9000.0,One Room,6.0,14.0,39.7,brick,Good,9150000.0,Old buildings
MAL5691,55.61093100000001,37.592231,,1.0,1.0,5.0,Sretensky Bulvar,637.0,Underground,15733.0,,1.0,9.0,,monolith,Enough,7600000.0,Old buildings
MAL2150,55.8057706,37.7940911,VAO,1.0,1.0,20.0,Novokuznetskaya,534.0,Underground,13108.0,Two Room,1.0,,42.4,brick,Enough,7300000.0,Old buildings
MAL4543,55.591259,37.598339,UAO,1.0,1.0,,Lokomotiv,642.0,Underground,17314.0,One Room,3.0,17.0,39.0,panel,Good,9800000.0,Middle-aged buildings
MAL12093,55.837402,37.40365,SZAO,1.0,1.0,1.0,Ulitsa Sergeya Eyzenshteyna,,Suburban rail,16261.0,One Room,9.0,17.0,,panel,Good,,Middle-aged buildings
MAL3316,55.879702,37.541898,SAO,2.0,2.0,21.0,Mnyovniki,1498.0,Underground,,,8.0,24.0,36.0,monolith,Poor,9000000.0,Middle-aged buildings
MAL3585,55.809499,37.525432,SAO,1.0,,,Bagrationovskaya,,Suburban rail,8969.0,Two Room,1.0,,53.0,brick,Good,13300000.0,Old buildings
MAL6608,55.6777704,37.564531,UZAO,1.0,1.0,9.0,Dubrovka,121.0,Underground,8931.0,One Room,2.0,8.0,30.1,brick,Enough,10200000.0,Old buildings
MAL8056,55.8569176,37.6375465,,1.0,1.0,14.0,Kuntsevskaya,999.0,Underground,11734.0,One Room,,9.0,31.7,block,Enough,8850000.0,Old buildings
MAL1349,55.683676,37.58221500000001,UZAO,1.0,2.0,8.0,Preobrazhenskaya Ploshchad,731.0,Underground,7728.0,One Room,3.0,20.0,45.0,monolith,Poor,14790000.0,Young buildings
MAL10522,55.84757800000001,37.363376,,1.0,1.0,,,212.0,Underground,19023.0,,14.0,17.0,39.0,panel,Enough,9000000.0,Middle-aged buildings
MAL4604,55.713238,37.746022,UVAO,1.0,19.0,5.0,Timiryazevskaya,1061.0,,8722.0,Two Room,13.0,14.0,52.0,panel,Good,10650000.0,Middle-aged buildings
MAL11484,55.9415774,37.5315043,SVAO,5.0,36.0,5.0,Volokolamskaya,758.0,Suburban rail,21506.0,Two Room,,14.0,55.0,panel,Good,11250000.0,Young buildings
MAL8989,55.8751379,37.5095606,SAO,1.0,292.0,7.0,,1830.0,Underground,,Two Room,4.0,5.0,55.3,panel,Enough,9750000.0,Old buildings
